,titulo,endereco,preco,quartos,suites,banheiros,vagas,privativos,total,infra,coordenadas,link
0,Apartamento 2 Quartos Meia Praia 61m²,"Rua Geraldo José Borba, 130, Meia Praia - Navegantes/SC","R$ 1.400,00",2,,1,1,61 M2,68 M2,[],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8561249, -48.6401609&zoom=16",https://maximoveis.com.br/imovel/9657/apartamento-2-quartos-residencial-nova-zelandia-meia-praia-navegantes/
1,Apartamento 3 Quartos Fazenda 79m²,"Rua Lauro Muller, 1034, Fazenda - Itajaí/SC","R$ 880.000,00",3,1,2,2,79 M2,105 M2,"['Bicicletário', 'Brinquedoteca', 'Condomínio Fechado', 'Elevador', 'Espaço Gourmet', 'Gás Central', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9144742, -48.6542013&zoom=16",https://maximoveis.com.br/imovel/12845/apartamento-3-quartos-costa-marina-fazenda-itajai/
2,Apartamento 2 Quartos São João 69m²,"Rua Heitor Liberato, 2150, São João - Itajaí/SC","R$ 490.000,00",2,1,2,1,69 M2,94 M2,"['Condomínio Fechado', 'Elevador', 'Piscina Coletiva', 'Sala Fitness', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9089983, -48.6800022&zoom=16",https://maximoveis.com.br/imovel/12846/apartamento-2-quartos-costa-esmeralda-sao-joao-itajai/
3,Apartamento 2 Quartos Itaipava 49m²,"Avenida Itaipava, 3868, Itaipava - Itajaí/SC","R$ 255.000,00",2,,1,1,49 M2,53 M2,"['Condomínio Fechado', 'Estacionamento', 'Guarita', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Portaria 24 horas', 'Quadra de Esportes', 'Salão de Festas', 'Vigilância 24 horas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.94498161028219, -48.7391997785736&zoom=16",https://maximoveis.com.br/imovel/8174/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/
4,Apartamento 3 Quartos Centro 72m²,"Rua Luiz Berlim, 165, Centro - Itajaí/SC","R$ 420.000,00",3,,1,1,72 M2,85 M2,['Salão de Festas'],"https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9132158, -48.6650375&zoom=16",https://maximoveis.com.br/imovel/12821/apartamento-3-quartos-residencial-santa-maria-centro-itajai/
5,Apartamento 2 Quartos Carvalho 54m²,"Rua Alvaro Beraldi, 400, Carvalho - Itajaí/SC","R$ 250.000,00",2,,1,1,54 M2,62 M2,"['Condomínio Fechado', 'Guarita', 'Piscina Coletiva', 'Playground', 'Portaria', 'Quadra de Esportes', 'Quiosque', 'Salão de Festas']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9385672, -48.69308460000002&zoom=16",https://maximoveis.com.br/imovel/2610/apartamento-2-quartos-viva-vida-park-residence-carvalho-itajai/
6,Apartamento 2 Quartos Cordeiros 57m²,"Rua Jaime Fernandes Vieira, 420, Cordeiros - Itajaí/SC","R$ 310.000,00",2,,1,1,57 M2,69 M2,"['Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Elevador de Serviço', 'Guarita', 'Interfone', 'Jardim', 'Piscina Coletiva', 'Playground', 'Portaria 24 horas', 'Quadra de Esportes', 'Quiosque', 'Salão de Festas', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.8965535, -48.708989900000006&zoom=16",https://maximoveis.com.br/imovel/7218/apartamento-2-quartos-vistalegre-cordeiros-itajai/
7,Apartamento 2 Quartos Centro 72m²,"Rua Eurico Adam, 82, Centro - Itajaí/SC","R$ 630.000,00",2,2,3,1,72 M2,105 M2,"['Brinquedoteca', 'Churrasqueira Condominial', 'Elevador', 'Espaço Gourmet', 'Guarita', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Porteiro Eletrônico', 'Quadra de Esportes', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Sauna Condominial', 'Spa']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9119502, -48.6654085&zoom=16",https://maximoveis.com.br/imovel/11736/apartamento-2-quartos-manhattan-life-connection-centro-itajai/
8,Apartamento 2 Quartos Centro 83m²,"Rua Camboriú, 103, Centro - Itajaí/SC","R$ 770.000,00",2,1,2,1,83 M2,104 M2,"['Brinquedoteca', 'Elevador', 'Interfone', 'Piscina Coletiva', 'Piscina Infantil', 'Playground', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos', 'Zelador']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9088811, -48.6574269&zoom=16",https://maximoveis.com.br/imovel/12837/apartamento-2-quartos-farol-de-sagres-centro-itajai/
9,Apartamento 3 Quartos Ressacada 81m²,"Avenida Vereador Abrahão João Francisco, 3820, Ressacada - Itajaí/SC","R$ 700.000,00",3,1,2,2,81 M2,120 M2,"['Brinquedoteca', 'Churrasqueira Condominial', 'Condomínio Fechado', 'Elevador', 'Empresa de Monitoramento', 'Estacionamento', 'Gás Central', 'Interfone', 'Lavanderia', 'Piscina Coletiva', 'Playground', 'Quadra de Esportes', 'Quiosque', 'Sala Fitness', 'Salão de Festas', 'Salão de Jogos']","https://www.google.com/maps/embed/v1/place?key=AIzaSyDQYuT0z8Dx2I9npdE3gXPaHZhPmt0SzXo&q=-26.9294158, -48.68507289999999&zoom=16",https://maximoveis.com.br/imovel/12849/apartamento-3-quartos-contorno-sul-ressacada-itajai/
