,titulo,preco,quartos,suites,banheiros,vagas,privativos,link,lat,long,numero_rua,bairro,cidade,piscina,gas_central,elevador,salao,academia
1,Apartamento 3 Quartos Fazenda 79m²,880000.0,3,1,2,2,79,https://maximoveis.com.br/imovel/12845/apartamento-3-quartos-costa-marina-fazenda-itajai/,-26.9144742,-48.6542013,"Rua Lauro Muller, 1034",Fazenda,Itajaí/SC,1,1,1,1,1
2,Apartamento 2 Quartos São João 69m²,490000.0,2,1,2,1,69,https://maximoveis.com.br/imovel/12846/apartamento-2-quartos-costa-esmeralda-sao-joao-itajai/,-26.9089983,-48.6800022,"Rua Heitor Liberato, 2150",São João,Itajaí/SC,1,0,1,1,1
3,Apartamento 2 Quartos Itaipava 49m²,255000.0,2,0,1,1,49,https://maximoveis.com.br/imovel/8174/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/,-26.94498161028219,-48.7391997785736,"Avenida Itaipava, 3868",Itaipava,Itajaí/SC,1,0,0,1,0
4,Apartamento 3 Quartos Centro 72m²,420000.0,3,0,1,1,72,https://maximoveis.com.br/imovel/12821/apartamento-3-quartos-residencial-santa-maria-centro-itajai/,-26.9132158,-48.6650375,"Rua Luiz Berlim, 165",Centro,Itajaí/SC,0,0,0,1,0
5,Apartamento 2 Quartos Carvalho 54m²,250000.0,2,0,1,1,54,https://maximoveis.com.br/imovel/2610/apartamento-2-quartos-viva-vida-park-residence-carvalho-itajai/,-26.9385672,-48.69308460000002,"Rua Alvaro Beraldi, 400",Carvalho,Itajaí/SC,1,0,0,1,0
6,Apartamento 2 Quartos Cordeiros 57m²,310000.0,2,0,1,1,57,https://maximoveis.com.br/imovel/7218/apartamento-2-quartos-vistalegre-cordeiros-itajai/,-26.8965535,-48.708989900000006,"Rua Jaime Fernandes Vieira, 420",Cordeiros,Itajaí/SC,1,0,1,1,0
7,Apartamento 2 Quartos Centro 72m²,630000.0,2,2,3,1,72,https://maximoveis.com.br/imovel/11736/apartamento-2-quartos-manhattan-life-connection-centro-itajai/,-26.9119502,-48.6654085,"Rua Eurico Adam, 82",Centro,Itajaí/SC,1,0,1,1,1
8,Apartamento 2 Quartos Centro 83m²,770000.0,2,1,2,1,83,https://maximoveis.com.br/imovel/12837/apartamento-2-quartos-farol-de-sagres-centro-itajai/,-26.9088811,-48.6574269,"Rua Camboriú, 103",Centro,Itajaí/SC,1,0,1,1,1
9,Apartamento 3 Quartos Ressacada 81m²,700000.0,3,1,2,2,81,https://maximoveis.com.br/imovel/12849/apartamento-3-quartos-contorno-sul-ressacada-itajai/,-26.9294158,-48.68507289999999,"Avenida Vereador Abrahão João Francisco, 3820",Ressacada,Itajaí/SC,1,1,1,1,1
10,Apartamento 2 Quartos Ressacada 45m²,275000.0,2,0,1,1,45,https://maximoveis.com.br/imovel/12785/apartamento-2-quartos-parque-europeu-ressacada-itajai/,-26.9394379,-48.6906452,"Rua Alvaro Beraldi, 460",Ressacada,Itajaí/SC,0,1,1,1,0
11,Apartamento 3 Quartos São Vicente 85m²,550000.0,3,1,2,2,85,https://maximoveis.com.br/imovel/12896/apartamento-3-quartos-sao-vicente-home-club-sao-vicente-itajai/,-26.9093895,-48.694985,"Rua São Vicente, 251",São Vicente,Itajaí/SC,1,0,1,1,1
12,Apartamento 2 Quartos Itaipava 44m²,200000.0,2,0,1,1,44,https://maximoveis.com.br/imovel/12704/apartamento-2-quartos-luna-bella-itaipava-itajai/,-26.9434091,-48.7474332,"Rua Maria De Souza Gonçalves, 38",Itaipava,Itajaí/SC,1,0,0,1,0
13,Apartamento 2 Quartos Itaipava 49m²,240000.0,2,0,1,1,49,https://maximoveis.com.br/imovel/10519/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/,-26.9438009,-48.7391063,"Avenida Itaipava, 3868",Itaipava,Itajaí/SC,1,0,0,1,0
14,Apartamento 3 Quartos Centro 88m²,470000.0,3,1,1,1,88,https://maximoveis.com.br/imovel/3994/apartamento-3-quartos-parque-das-flores-centro-itajai/,-26.9112181,-48.662647100000015,"Rua Uruguai, 233",Centro,Itajaí/SC,0,0,1,1,1
16,Apartamento 2 Quartos Espinheiros 56m²,280000.0,2,0,1,1,56,https://maximoveis.com.br/imovel/12403/apartamento-2-quartos-vitta-club-espinheiros-itajai/,-26.8962092,-48.7306507,"Rua Fermino Vieira Cordeiro, 1200",Espinheiros,Itajaí/SC,1,0,1,1,0
17,Apartamento 3 Quartos Centro 129m²,580000.0,3,2,3,1,129,https://maximoveis.com.br/imovel/2576/apartamento-3-quartos-emendorfer-centro-itajai/,-26.906711,-48.673408499999994,"Rua Heitor Liberato, 1040",Centro,Itajaí/SC,0,0,0,0,0
19,Apartamento 3 Quartos Fazenda 137m²,1300000.0,3,3,4,2,137,https://maximoveis.com.br/imovel/10130/apartamento-3-quartos-vivacita-residencial-fazenda-itajai/,-26.90715,-48.6553818,"Rua Lauro Muller, 236",Fazenda,Itajaí/SC,1,1,1,1,1
20,Apartamento 2 Quartos Cordeiros 56m²,375000.0,2,0,1,1,56,https://maximoveis.com.br/imovel/12658/apartamento-2-quartos-lago-maggiore-residenze-cordeiros-itajai/,-26.8889301,-48.6966767,"Rua São Paulo, 270",Cordeiros,Itajaí/SC,0,0,1,1,0
23,Apartamento 2 Quartos Centro 68m²,520000.0,2,1,2,1,68,https://maximoveis.com.br/imovel/5174/apartamento-2-quartos-residencial-peter-brook-centro-itajai/,-26.913588,-48.664102000000014,"Rua Juvenal Garcia, 246",Centro,Itajaí/SC,0,1,1,1,0
25,Apartamento 2 Quartos São Vicente 59m²,300000.0,2,0,1,1,59,https://maximoveis.com.br/imovel/12583/apartamento-2-quartos-condominio-residencial-victoria-sao-vicente-itajai/,-26.9105046,-48.7042688,"Rua Higina De Andrade Correa, 312",São Vicente,Itajaí/SC,0,0,0,0,0
26,Apartamento 2 Quartos Fazenda 82m²,1200000.0,2,2,3,2,82,https://maximoveis.com.br/imovel/12770/apartamento-2-quartos-lotisa-home-club-fazenda-itajai/,-26.9216521,-48.6504408,"Rua Onze De Junho, 189",Fazenda,Itajaí/SC,1,1,1,1,1
28,Apartamento 3 Quartos Fazenda 108m²,1490000.0,3,3,4,3,108,https://maximoveis.com.br/imovel/12066/apartamento-3-quartos-lotisa-home-club-fazenda-itajai/,-26.9216521,-48.6504408,"Rua Onze De Junho, 189",Fazenda,Itajaí/SC,1,1,1,1,1
29,Apartamento 2 Quartos Balneário Santa Clara 93m²,1550000.0,2,2,3,2,93,https://maximoveis.com.br/imovel/12893/apartamento-2-quartos-brava-ocean-balneario-santa-clara-itajai/,-26.9458586,-48.6426472,"Rua Cabo-Polícia Militar Antônio Rudolf, 155",Balneário Santa Clara,Itajaí/SC,1,0,1,1,1
30,Apartamento 2 Quartos Centro 55m²,430000.0,2,1,2,1,55,https://maximoveis.com.br/imovel/8349/apartamento-2-quartos-downtown-residence-centro-itajai/,-26.9147279,-48.6677721,"Rua Abércio Werner, 58",Centro,Itajaí/SC,0,0,1,1,0
31,Apartamento 2 Quartos Praia Brava 69m²,755000.0,2,0,1,1,69,https://maximoveis.com.br/imovel/12188/apartamento-2-quartos-maxhaus-praia-brava-praia-brava-itajai/,-26.9398695,-48.6415507,"Rodovia Osvaldo Reis, 2000",Praia Brava,Itajaí/SC,1,0,1,1,1
32,Apartamento 2 Quartos Cidade Nova 50m²,275000.0,2,0,1,1,50,https://maximoveis.com.br/imovel/6115/apartamento-2-quartos-residencial-portal-de-itajai-cidade-nova-itajai/,-26.9194939,-48.70439320000003,"Avenida Ministro Luiz Gallotti, 251",Cidade Nova,Itajaí/SC,1,0,0,1,0
33,Apartamento 2 Quartos São João 59m²,460000.0,2,1,1,1,59,https://maximoveis.com.br/imovel/5261/apartamento-2-quartos-fit-sao-joao-sao-joao-itajai/,-26.9029072,-48.683207400000015,"Rua José Pereira Liberato, 1637",São João,Itajaí/SC,1,0,1,1,1
34,Apartamento 2 Quartos Fazendinha 48m²,350000.0,2,0,1,1,48,https://maximoveis.com.br/imovel/12903/apartamento-2-quartos-marazul-fazendinha-itajai/,-26.9322194,-48.64816099999999,"Rua Maria Sedrez, 174",Fazendinha,Itajaí/SC,0,0,0,1,0
37,Apartamento 1 Quarto Dom Bosco 56m²,320000.0,1,0,1,1,56,https://maximoveis.com.br/imovel/3422/apartamento-1-quarto-studio-uno-dom-bosco-itajai/,-26.9171108,-48.67194330000001,"Rua Ulisses Machado Dutra, 90",Dom Bosco,Itajaí/SC,0,0,1,1,0
39,Apartamento 3 Quartos Fazenda 84m²,920000.0,3,1,2,2,84,https://maximoveis.com.br/imovel/8279/apartamento-3-quartos-opera-club-residence-fazenda-itajai/,-26.9218338,-48.6511398,"Rua Onze De Junho, 233",Fazenda,Itajaí/SC,1,0,1,1,1
40,Apartamento 3 Quartos Vila Operária 83m²,735000.0,3,1,3,2,83,https://maximoveis.com.br/imovel/11783/apartamento-3-quartos-villa-di-fiori-vila-operaria-itajai/,-26.9117731,-48.6724659,"Avenida Getúlio Vargas, 542",Vila Operária,Itajaí/SC,1,0,1,1,1
41,Apartamento 3 Quartos Centro 98m²,750000.0,3,1,2,2,98,https://maximoveis.com.br/imovel/11878/apartamento-3-quartos-amadryas-centro-itajai/,-26.9107717,-48.6562966,"Rua Camboriú, 333",Centro,Itajaí/SC,1,0,1,1,0
42,Apartamento 2 Quartos São João 67m²,626280.0,2,1,2,1,67,https://maximoveis.com.br/imovel/10834/apartamento-2-quartos-villa-mariana-sao-joao-itajai/,-26.9022382,-48.6806661,"Rua Fridolim Herthal Júnior, 235",São João,Itajaí/SC,1,0,1,1,1
44,Apartamento 3 Quartos Fazenda 144m²,2395000.0,3,3,4,2,144,https://maximoveis.com.br/imovel/9947/apartamento-3-quartos-marine-vision-fazenda-itajai/,-26.9159154,-48.6538878,"Lauro Muller, 1200",Fazenda,Itajaí/SC,1,0,1,1,1
46,Apartamento 2 Quartos Centro 59m²,460000.0,2,1,1,1,59,https://maximoveis.com.br/imovel/1797/apartamento-2-quartos-porto-do-sol-residence-centro-itajai/,-26.9067772,-48.66636440000002,"Rua Joaquim Lopes Corrêa, 239",Centro,Itajaí/SC,0,0,1,1,0
47,Apartamento 2 Quartos Itaipava 49m²,220000.0,2,0,1,1,49,https://maximoveis.com.br/imovel/10021/apartamento-2-quartos-solar-das-araucarias-itaipava-itajai/,-26.9450879,-48.7388919,"Avenida Itaipava, 3820",Itaipava,Itajaí/SC,1,0,0,1,0
48,Apartamento 2 Quartos Itaipava 49m²,220000.0,2,0,1,1,49,https://maximoveis.com.br/imovel/12899/apartamento-2-quartos-solar-das-araucarias-itaipava-itajai/,-26.9450879,-48.7388919,"Avenida Itaipava, 3820",Itaipava,Itajaí/SC,1,0,0,1,0
49,Apartamento 2 Quartos Fazenda 74m²,1000000.0,2,2,3,2,74,https://maximoveis.com.br/imovel/10571/apartamento-2-quartos-you-new-style-fazenda-itajai/,-26.9226795,-48.65146739999999,"Rua Onze De Junho, 309",Fazenda,Itajaí/SC,1,1,1,1,1
50,Apartamento 2 Quartos São Vicente 55m²,370000.0,2,1,1,1,55,https://maximoveis.com.br/imovel/9420/apartamento-2-quartos-ilha-do-mel-sao-vicente-itajai/,-26.9136054,-48.70375259999999,"Rua Israel De Almeida, 248",São Vicente,Itajaí/SC,0,0,1,1,0
51,Apartamento 3 Quartos Fazenda 92m²,1038600.0,3,1,3,2,92,https://maximoveis.com.br/imovel/2114/apartamento-3-quartos-plaza-gaudi-fazenda-itajai/,,,"Rua Camboriú, 673",Fazenda,Itajaí/SC,1,1,1,1,1
52,Apartamento 2 Quartos Fazenda 58m²,350000.0,2,0,1,1,58,https://maximoveis.com.br/imovel/4521/apartamento-2-quartos-flamboyant-fazenda-itajai/,-26.925215,-48.649355000000014,"Rodovia Osvaldo Reis, 200",Fazenda,Itajaí/SC,0,0,0,1,0
53,Apartamento 2 Quartos Fazenda 86m²,990000.0,2,2,3,1,86,https://maximoveis.com.br/imovel/12853/apartamento-2-quartos-fazenda-garden-fazenda-itajai/,-26.9200291,-48.6532217,"Avenida Sete De Setembro, 1657",Fazenda,Itajaí/SC,1,0,1,1,1
54,Apartamento 2 Quartos Murta 46m²,265000.0,2,0,1,1,46,https://maximoveis.com.br/imovel/8690/apartamento-2-quartos-marisanto-murta-itajai/,-26.873929,-48.698768,"Rua José Luiz Marcelino, 650",Murta,Itajaí/SC,1,0,0,1,1
55,Apartamento 3 Quartos Ressacada 90m²,850000.0,3,1,3,2,90,https://maximoveis.com.br/imovel/6544/apartamento-3-quartos-ecoville-ressacada-itajai/,-26.929634151632914,-48.673477325131216,"Rua Vereador Abílio Otávio Do Canto, 725",Ressacada,Itajaí/SC,1,1,1,1,1
56,Apartamento 3 Quartos São Judas 64m²,533000.0,3,0,2,1,64,https://maximoveis.com.br/imovel/9306/apartamento-3-quartos-malbec-sao-judas-itajai/,-26.9143303,-48.679275,"Rua Jacó Lamim, 218",São Judas,Itajaí/SC,1,1,1,1,0
57,Apartamento 3 Quartos Fazenda 133m²,1670000.0,3,3,4,2,133,https://maximoveis.com.br/imovel/12412/apartamento-3-quartos-nob-hill-apartaments-fazenda-itajai/,-26.9191081,-48.6565174,"Rua Cecília Brandão, 35",Fazenda,Itajaí/SC,1,1,1,1,1
58,Apartamento 2 Quartos Fazenda 79m²,750000.0,2,1,2,1,79,https://maximoveis.com.br/imovel/11965/apartamento-2-quartos-opera-club-residence-fazenda-itajai/,-26.9218338,-48.6511398,"Rua Onze De Junho, 233",Fazenda,Itajaí/SC,1,0,1,1,1
59,Apartamento 2 Quartos São Vicente 62m²,500000.0,2,1,2,1,62,https://maximoveis.com.br/imovel/8121/apartamento-2-quartos-sao-vicente-home-club-sao-vicente-itajai/,,,"Rua São Vicente, 251",São Vicente,Itajaí/SC,1,0,1,1,1
60,Apartamento 3 Quartos Fazenda 111m²,1480000.0,3,3,4,2,111,https://maximoveis.com.br/imovel/11711/apartamento-3-quartos-maison-d-lourdes-fazenda-itajai/,-26.9200216,-48.6526146,"Rua Telêmaco Pereira Liberato, 145",Fazenda,Itajaí/SC,1,0,1,0,1
61,Apartamento 3 Quartos Fazenda 101m²,1320500.0,3,1,4,2,101,https://maximoveis.com.br/imovel/6099/apartamento-3-quartos-gran-marine-fazenda-itajai/,-26.920075,-48.65229499999998,"Rua Antônio Manoel Moreira, 123",Fazenda,Itajaí/SC,1,1,1,1,1
62,Apartamento 2 Quartos Fazenda 74m²,750100.0,2,1,2,1,74,https://maximoveis.com.br/imovel/5626/apartamento-2-quartos-plaza-gaudi-fazenda-itajai/,,,"Rua Camboriú, 673",Fazenda,Itajaí/SC,1,1,1,1,1
64,Apartamento 2 Quartos Centro 88m²,570000.0,2,2,3,1,88,https://maximoveis.com.br/imovel/4453/apartamento-2-quartos-ferrara-centro-itajai/,-26.914311,-48.668619,"Rua Brusque, 815",Centro,Itajaí/SC,0,0,1,1,0
65,Apartamento 3 Quartos Fazenda 120m²,1280000.0,3,1,3,1,120,https://maximoveis.com.br/imovel/3934/apartamento-3-quartos-areia-branca-fazenda-itajai/,-26.916552,-48.654713000000015,"Rua Camboriú, 1012",Fazenda,Itajaí/SC,1,0,1,1,1
67,Apartamento 2 Quartos Cordeiros 51m²,350000.0,2,0,1,1,51,https://maximoveis.com.br/imovel/3212/apartamento-2-quartos-residencial-aguas-claras-cordeiros-itajai/,-26.887616,-48.696452599999986,"Rua Galdino De Borba, 284",Cordeiros,Itajaí/SC,0,0,1,0,0
68,Apartamento 2 Quartos Centro 72m²,655000.0,2,1,2,1,72,https://maximoveis.com.br/imovel/10500/apartamento-2-quartos-maiori-centro-itajai/,-26.9147098,-48.6655161,"Rua Juvenal Garcia, 400",Centro,Itajaí/SC,1,1,1,1,1
69,Apartamento 2 Quartos Itaipava 44m²,200000.0,2,0,1,1,44,https://maximoveis.com.br/imovel/12702/apartamento-2-quartos-luna-bella-itaipava-itajai/,-26.9434091,-48.7474332,"Rua Maria De Souza Gonçalves, 38",Itaipava,Itajaí/SC,1,0,0,1,0
