,links
0,https://maximoveis.com.br/imovel/9657/apartamento-2-quartos-residencial-nova-zelandia-meia-praia-navegantes/
1,https://maximoveis.com.br/imovel/12845/apartamento-3-quartos-costa-marina-fazenda-itajai/
2,https://maximoveis.com.br/imovel/12846/apartamento-2-quartos-costa-esmeralda-sao-joao-itajai/
3,https://maximoveis.com.br/imovel/8174/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/
4,https://maximoveis.com.br/imovel/12821/apartamento-3-quartos-residencial-santa-maria-centro-itajai/
5,https://maximoveis.com.br/imovel/2610/apartamento-2-quartos-viva-vida-park-residence-carvalho-itajai/
6,https://maximoveis.com.br/imovel/7218/apartamento-2-quartos-vistalegre-cordeiros-itajai/
7,https://maximoveis.com.br/imovel/11736/apartamento-2-quartos-manhattan-life-connection-centro-itajai/
8,https://maximoveis.com.br/imovel/12837/apartamento-2-quartos-farol-de-sagres-centro-itajai/
9,https://maximoveis.com.br/imovel/12849/apartamento-3-quartos-contorno-sul-ressacada-itajai/
10,https://maximoveis.com.br/imovel/12785/apartamento-2-quartos-parque-europeu-ressacada-itajai/
11,https://maximoveis.com.br/imovel/12896/apartamento-3-quartos-sao-vicente-home-club-sao-vicente-itajai/
12,https://maximoveis.com.br/imovel/12704/apartamento-2-quartos-luna-bella-itaipava-itajai/
13,https://maximoveis.com.br/imovel/10519/apartamento-2-quartos-quinta-das-araucarias-itaipava-itajai/
14,https://maximoveis.com.br/imovel/3994/apartamento-3-quartos-parque-das-flores-centro-itajai/
15,https://maximoveis.com.br/imovel/6194/apartamento-3-quartos-ilha-de-paqueta-residence-centro-navegantes/
16,https://maximoveis.com.br/imovel/12403/apartamento-2-quartos-vitta-club-espinheiros-itajai/
17,https://maximoveis.com.br/imovel/2576/apartamento-3-quartos-emendorfer-centro-itajai/
18,https://maximoveis.com.br/imovel/11553/apartamento-3-quartos-ilha-de-vancouver-centro-navegantes/
19,https://maximoveis.com.br/imovel/10130/apartamento-3-quartos-vivacita-residencial-fazenda-itajai/
20,https://maximoveis.com.br/imovel/12658/apartamento-2-quartos-lago-maggiore-residenze-cordeiros-itajai/
21,https://maximoveis.com.br/imovel/12083/apartamento-3-quartos-residencial-carlos-volter-meia-praia-navegantes/
22,https://maximoveis.com.br/imovel/11687/apartamento-2-quartos-solar-das-araucarias-bc-na%C3%A7oes-balneario-camboriu/
23,https://maximoveis.com.br/imovel/5174/apartamento-2-quartos-residencial-peter-brook-centro-itajai/
24,https://maximoveis.com.br/imovel/12117/apartamento-3-quartos-maria-regina-vanzo-centro-balneario-camboriu/
25,https://maximoveis.com.br/imovel/12583/apartamento-2-quartos-condominio-residencial-victoria-sao-vicente-itajai/
26,https://maximoveis.com.br/imovel/12770/apartamento-2-quartos-lotisa-home-club-fazenda-itajai/
27,https://maximoveis.com.br/imovel/11905/apartamento-2-quartos-990-square-centro-navegantes/
28,https://maximoveis.com.br/imovel/12066/apartamento-3-quartos-lotisa-home-club-fazenda-itajai/
29,https://maximoveis.com.br/imovel/12893/apartamento-2-quartos-brava-ocean-balneario-santa-clara-itajai/
30,https://maximoveis.com.br/imovel/8349/apartamento-2-quartos-downtown-residence-centro-itajai/
31,https://maximoveis.com.br/imovel/12188/apartamento-2-quartos-maxhaus-praia-brava-praia-brava-itajai/
32,https://maximoveis.com.br/imovel/6115/apartamento-2-quartos-residencial-portal-de-itajai-cidade-nova-itajai/
33,https://maximoveis.com.br/imovel/5261/apartamento-2-quartos-fit-sao-joao-sao-joao-itajai/
34,https://maximoveis.com.br/imovel/12903/apartamento-2-quartos-marazul-fazendinha-itajai/
35,https://maximoveis.com.br/imovel/7092/apartamento-2-quartos-residencial-italia-ii-centro-navegantes/
36,https://maximoveis.com.br/imovel/12244/apartamento-2-quartos-centro-navegantes/
37,https://maximoveis.com.br/imovel/3422/apartamento-1-quarto-studio-uno-dom-bosco-itajai/
38,https://maximoveis.com.br/imovel/3528/apartamento-2-quartos-residencial-royal-centro-navegantes/
39,https://maximoveis.com.br/imovel/8279/apartamento-3-quartos-opera-club-residence-fazenda-itajai/
40,https://maximoveis.com.br/imovel/11783/apartamento-3-quartos-villa-di-fiori-vila-operaria-itajai/
41,https://maximoveis.com.br/imovel/11878/apartamento-3-quartos-amadryas-centro-itajai/
42,https://maximoveis.com.br/imovel/10834/apartamento-2-quartos-villa-mariana-sao-joao-itajai/
43,https://maximoveis.com.br/imovel/11359/apartamento-2-quartos-residencial-ilhas-do-caribe-2-sao-paulo-navegantes/
44,https://maximoveis.com.br/imovel/9947/apartamento-3-quartos-marine-vision-fazenda-itajai/
45,https://maximoveis.com.br/imovel/10283/apartamento-2-quartos-chiquetti-residencial-meia-praia-navegantes/
46,https://maximoveis.com.br/imovel/1797/apartamento-2-quartos-porto-do-sol-residence-centro-itajai/
47,https://maximoveis.com.br/imovel/10021/apartamento-2-quartos-solar-das-araucarias-itaipava-itajai/
48,https://maximoveis.com.br/imovel/12899/apartamento-2-quartos-solar-das-araucarias-itaipava-itajai/
49,https://maximoveis.com.br/imovel/10571/apartamento-2-quartos-you-new-style-fazenda-itajai/
50,https://maximoveis.com.br/imovel/9420/apartamento-2-quartos-ilha-do-mel-sao-vicente-itajai/
51,https://maximoveis.com.br/imovel/2114/apartamento-3-quartos-plaza-gaudi-fazenda-itajai/
52,https://maximoveis.com.br/imovel/4521/apartamento-2-quartos-flamboyant-fazenda-itajai/
53,https://maximoveis.com.br/imovel/12853/apartamento-2-quartos-fazenda-garden-fazenda-itajai/
54,https://maximoveis.com.br/imovel/8690/apartamento-2-quartos-marisanto-murta-itajai/
55,https://maximoveis.com.br/imovel/6544/apartamento-3-quartos-ecoville-ressacada-itajai/
56,https://maximoveis.com.br/imovel/9306/apartamento-3-quartos-malbec-sao-judas-itajai/
57,https://maximoveis.com.br/imovel/12412/apartamento-3-quartos-nob-hill-apartaments-fazenda-itajai/
58,https://maximoveis.com.br/imovel/11965/apartamento-2-quartos-opera-club-residence-fazenda-itajai/
59,https://maximoveis.com.br/imovel/8121/apartamento-2-quartos-sao-vicente-home-club-sao-vicente-itajai/
60,https://maximoveis.com.br/imovel/11711/apartamento-3-quartos-maison-d-lourdes-fazenda-itajai/
61,https://maximoveis.com.br/imovel/6099/apartamento-3-quartos-gran-marine-fazenda-itajai/
62,https://maximoveis.com.br/imovel/5626/apartamento-2-quartos-plaza-gaudi-fazenda-itajai/
